Peak #,RetTime [min],Type,Width [min],Area [mAU * s],Height [mAU],Area %
1,0.512,BV,0.0615,129.68288,31.28218,1.7419
2,0.6,VV,0.0704,102.98445,21.5245,1.3833
3,0.69,VV,0.0634,71.98871,16.70563,0.967
4,0.821,VV,0.0515,80.43124,22.71212,1.0804
5,1.098,VV,0.0672,8.113,1.70333,0.109
6,2.411,VB,0.0736,2008.37708,417.11465,26.9767
