Peak #,RetTime [min],Type,Width [min],Area [mAU * s],Height [mAU],Area %
1,0.518,BV,0.0528,61.55686,16.85963,0.1781
2,0.605,VV,0.0697,75.28285,15.93437,0.2178
3,0.688,VV,0.0696,67.69802,13.97895,0.1959
4,0.821,VV,0.0439,15.09626,5.2303,0.0437
5,1.147,VV,0.0755,17.91119,3.35054,0.0518
6,2.529,VB,0.0771,2389.14233,479.36688,6.9118
7,3.267,VB,0.0917,15.22406,2.54089,0.044
