Peak #,RetTime [min],Type,Width [min],Area [mAU * s],Height [mAU],Area %
1,0.522,BV,0.0616,108.91133,25.42495,1.4985
2,0.6,VV,0.0582,54.27995,13.60255,0.7468
3,0.684,VV,0.0661,55.59393,12.24215,0.7649
4,0.818,VV,0.0445,24.65031,8.38898,0.3392
5,2.405,VB,0.0739,2160.00903,446.66791,29.7195
