Peak #,RetTime [min],Type,Width [min],Area [mAU * s],Height [mAU],Area %
1,0.515,BV,0.0593,97.37947,23.82665,1.266
2,0.603,VV,0.0676,77.49326,16.60489,1.0075
3,0.688,VV,0.0623,49.37794,11.71857,0.642
4,0.819,VV,0.041,16.42451,6.21305,0.2135
5,2.42,VB,0.0743,2582.48853,530.26801,33.5746
