Peak #,RetTime [min],Type,Width [min],Area [mAU * s],Height [mAU],Area %
1,0.523,BV,0.0559,61.56786,16.24656,0.8292
2,0.606,VV,0.0658,58.94383,13.04393,0.7939
3,0.684,VV,0.068,52.97241,11.25628,0.7135
4,0.822,VV,0.0427,12.81694,4.60426,0.1726
5,1.152,VV,0.0968,18.29042,2.5056,0.2463
6,1.838,VV,0.1447,18.88615,1.71238,0.2544
7,2.496,VB,0.0766,2235.86523,452.09607,30.1137
